"","county_year","county","year","pop_county","pop_national","Bezirksverwaltung_im","county_im","Date_im","ims","imb","ime","fim","sum_im","year_im","day","month","typ_im","year_prisoners","tgs","parrests","ovs","opks","city_county","zersetz","zersetz_and_prevent","objektdienststellen","all26","initiated_telephone","realised_telephone","tapped_calls","transcribed_calls","initiated_roomcontrol","realised_roomcontrol","reports_roomcontrol","initiated_acustic","realised_acustic","reports_acustic","Hauptamtliche_Mitarbeiter_Abt26","territory_1988","cities","districtcapital","dist_border","protests53","poland","WGTV","dist_Berlin","districtcapital.1","WGTV_continuous","exits_89","pop_change_80to88","canton_year","district","Jahr.y","Wohnbevölkerung","mannlich","weiblich","percentage_employed_persons","percentage_construction_workers","percentage_farmers","industrial_productivity","available_flats","hospital_beds_per10000cit","theater_performances","theater_guests","canton.y","petition_sum","so2","staub","flats_per_ht","hospital_beds_per_ht","theater_perf_per_ht","theater_guests_per_ht","percentage_female","pop.log","ovs_clean","opks_clean","sum_im_clean","ims_clean","ims_impute","opks_impute","ovs_impute","sum_im_impute","imb_impute","ims_only_impute","zersetz_and_prevent_impute","realised_telephone_imputed","realised_roomcontrol_imputed","realised_acustic_imputed","abt26_imputed","pris_per_capita","opks_per_capita","ims_per_capita","total_ims_per_capita","ovs_per_capita","sum_im_impute_per_capita","opks_impute_per_capita","imb_impute_per_capita","ovs_impute_per_capita","pris_per_ht","opks_per_ht","ims_per_ht","total_ims_per_ht","imb_per_ht","ovs_per_ht","sum_im_impute_per_ht","opks_impute_per_ht","imb_impute_per_ht","ovs_impute_per_ht","ims_only_impute_per_ht","pop_change_yearly"
"1","Altenburg _ 1983","Altenburg",1983,109286,16701487,"Leipzig","Altenburg","31/12/83",238,2,21,4,265,1983,NA,NA,"Kreis",1983,1301,NA,8,55,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,3,0,73.0069864719,4,0,1,182.502250483,FALSE,1,630,-0.066048512324415,"Leipzig _ 1983","Leipzig",1983,1392.6,646,746.6,706.1,6.6,8.2,172,18125,126,2071,1148,"Leipzig",NA,NA,NA,16584.9239609831,1260,1895.02772541771,1050.45477005289,0.536119488726124,11.601723578129,8,55,265,238,238,55,8,265,2,238,0,822,NA,84,41,NA,0.000503266658126384,0.00217777208425599,0.00242483026188167,7.32024230002013e-05,0.00242483026188167,0.000503266658126384,1.83006057500503e-05,7.32024230002013e-05,NA,50.3266658126384,217.777208425599,242.483026188167,1.83006057500503,7.32024230002013,242.483026188167,50.3266658126384,1.83006057500503,7.32024230002013,217.777208425599,NA
"2","Altenburg _ 1984","Altenburg",1984,108264,16659957,"Leipzig","Altenburg","31/12/84",230,2,22,5,259,1984,NA,NA,"Kreis",1984,1301,11,2,47,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,3,0,73.0069864719,4,0,1,182.502250483,FALSE,1,630,-0.066048512324415,"Leipzig _ 1984","Leipzig",1984,1384,643,741.1,706.9,6.6,8.3,176,19437,123,2262,1205,"Leipzig",4627,"100-250","25-100",17953.3362890712,1230,2089.33717579251,1113.02002512377,0.535476878612717,11.5923279677563,2,47,259,230,230,47,2,259,2,230,0,822,NA,84,41,0.000101603487770635,0.000434123993201803,0.00212443656247691,0.00239230030296313,1.84733614128427e-05,0.00239230030296313,0.000434123993201803,1.84733614128427e-05,1.84733614128427e-05,10.1603487770635,43.4123993201803,212.443656247691,239.230030296313,1.84733614128427,1.84733614128427,239.230030296313,43.4123993201803,1.84733614128427,1.84733614128427,212.443656247691,-0.935160953827572
"3","Altenburg _ 1985","Altenburg",1985,107274,16640059,"Leipzig","Altenburg","31/12/85",241,2,28,6,277,1985,31,12,"Kreis",1985,1301,5,5,38,0,0,0,0,NA,749,710,"",NA,4,"0",0,132,84,385,41,345,3,0,73.0069864719,4,0,1,182.502250483,FALSE,1,630,-0.066048512324415,"Leipzig _ 1985","Leipzig",1985,1378.5,642.1,736.3,708.8,6.6,8.3,181,19725,123,2284,1123,"Leipzig",5023,NA,NA,18387.4937077018,1230,2129.12728154073,1046.85198650185,0.534131302140007,11.5831415879799,5,38,277,241,241,38,5,277,2,241,0,710,2,84,41,4.66096164960755e-05,0.000354233085370174,0.00224658351511084,0.00258217275388258,4.66096164960755e-05,0.00258217275388258,0.000354233085370174,1.86438465984302e-05,4.66096164960755e-05,4.66096164960755,35.4233085370174,224.658351511084,258.217275388258,1.86438465984302,4.66096164960755,258.217275388258,35.4233085370174,1.86438465984302,4.66096164960755,224.658351511084,-0.914431389935713
"4","Altenburg _ 1986","Altenburg",1986,105983,16639877,"Leipzig","Altenburg","31/12/86",236,2,31,6,275,1986,31,12,"Kreis",1986,1301,7,4,30,0,0,0,0,1238,950,934,"146313",10634,NA,NA,NA,NA,NA,NA,41,345,3,0,73.0069864719,4,0,1,182.502250483,FALSE,1,630,-0.066048512324415,"Leipzig _ 1986","Leipzig",1986,1371.4,641,730.4,708.3,6.6,8.3,186,19527,122,2267,1080,"Leipzig",4586,"100-250","25-100",18424.6530103885,1220,2139.02229602861,1019.03135408509,0.532594429050605,11.5710339828739,4,30,275,236,236,30,4,275,2,236,0,934,NA,84,41,6.6048328505515e-05,0.000283064265023636,0.00222677221818594,0.00259475576271666,3.77419020031514e-05,0.00259475576271666,0.000283064265023636,1.88709510015757e-05,3.77419020031514e-05,6.6048328505515,28.3064265023636,222.677221818594,259.475576271666,1.88709510015757,3.77419020031514,259.475576271666,28.3064265023636,1.88709510015757,3.77419020031514,222.677221818594,-1.20346029792867
"5","Altenburg _ 1987","Altenburg",1987,105357,16661423,"Leipzig","Altenburg","31/12/87",251,2,29,7,289,1987,31,12,"Kreis",1987,1301,7,6,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,3,0,73.0069864719,4,0,1,182.502250483,FALSE,1,630,-0.066048512324415,"Leipzig _ 1987","Leipzig",1987,1366,640.8,725.3,705,6.5,8.3,189,19031,120,2048,948,"Leipzig",4198,NA,NA,18063.3465265716,1200,1943.86704253158,899.797830234346,0.530966325036603,11.5651098622077,6,33,289,251,251,33,6,289,2,251,0,822,NA,84,41,6.64407680552787e-05,0.000313220763689171,0.00238237611169642,0.00274305456685365,5.69492297616675e-05,0.00274305456685365,0.000313220763689171,1.89830765872225e-05,5.69492297616675e-05,6.64407680552787,31.3220763689171,238.237611169642,274.305456685365,1.89830765872225,5.69492297616675,274.305456685365,31.3220763689171,1.89830765872225,5.69492297616675,238.237611169642,-0.59066076634932
"6","Altenburg _ 1988","Altenburg",1988,104653,16674632,"Leipzig","Altenburg","31/12/88",240,2,29,7,278,1988,31,12,"Kreis",1988,1301,23,9,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,3,0,73.0069864719,4,0,1,182.502250483,FALSE,1,630,-0.066048512324415,"Leipzig _ 1988","Leipzig",1988,1360.9,642,718.9,704.9,6.5,8.3,191,18877,119,2148,999,"Leipzig",NA,NA,NA,18037.7055602802,1190,2052.49730060294,954.583241760867,0.528253361745903,11.5584053944484,9,25,278,240,240,25,9,278,2,240,0,822,NA,84,41,0.000219773919524524,0.000238884695135352,0.00229329307329938,0.00265639780990512,8.59984902487267e-05,0.00265639780990512,0.000238884695135352,1.91107756108282e-05,8.59984902487267e-05,21.9773919524524,23.8884695135352,229.329307329938,265.639780990511,1.91107756108282,8.59984902487268,265.639780990511,23.8884695135352,1.91107756108282,8.59984902487268,229.329307329938,NA
"7","Altentreptow _ 1983","Altentreptow",1983,23585,16701487,"Neubrandenburg","Altentreptow","31/12/1983",111,1,9,13,134,NA,31,12,"Kreis",1983,301,NA,NA,7,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,1,0,129.899596972,1,0,0,132.35473821,FALSE,0.421111969434411,19,-0.0427180443339548,"Neubrandenburg _ 1983","Neubrandenburg",1983,621,300.5,320.5,299.4,8.9,26.6,208,795,94,764,154,"Neubrandenburg",NA,NA,NA,3370.78651685393,940,3239.34704261183,652.957388170447,0.51610305958132,10.0683661957184,NA,7,134,111,111,7,1,134,1,111,0.333333333333333,366,NA,68,28.5,NA,0.000296798812804749,0.0047063811744753,0.00568157727369091,NA,0.00568157727369091,0.000296798812804749,4.23998304006784e-05,4.23998304006784e-05,NA,29.6798812804749,470.63811744753,568.15772736909,4.23998304006784,NA,568.15772736909,29.6798812804749,4.23998304006784,4.23998304006784,470.63811744753,NA
"8","Altentreptow _ 1984","Altentreptow",1984,23503,16659957,"Neubrandenburg","Altentreptow","31/12/84",120,1,10,12,143,1984,31,12,"Kreis",1984,301,0,0,6,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,1,0,129.899596972,1,0,0,132.35473821,FALSE,0.421111969434411,19,-0.0427180443339548,"Neubrandenburg _ 1984","Neubrandenburg",1984,620.1,300.4,319.8,302.8,8.7,26.8,218,6959,95,713,168,"Neubrandenburg",602,"2.5-25","<2.5",29608.9860868825,950,3033.65527804961,714.802365655448,0.515723270440252,10.0648833515589,0,6,143,120,120,6,0,143,1,120,0.333333333333333,366,NA,68,28.5,0,0.00025528655916266,0.0051057311832532,0.0060843296600434,0,0.0060843296600434,0.00025528655916266,4.25477598604433e-05,0,0,25.528655916266,510.57311832532,608.43296600434,4.25477598604433,0,608.43296600434,25.528655916266,4.25477598604433,0,510.57311832532,-0.347678609285563
"9","Altentreptow _ 1985","Altentreptow",1985,23357,16640059,"Neubrandenburg","Altentreptow","31/12/85",125,1,12,13,151,1985,31,12,"Kreis",1985,301,0,1,6,0,NA,0,0,NA,418,408,"",NA,10,"10",98,75,68,841,28,501,1,0,129.899596972,1,0,0,132.35473821,FALSE,0.421111969434411,19,-0.0427180443339548,"Neubrandenburg _ 1985","Neubrandenburg",1985,619.6,300.5,319.1,305.9,8.4,26.9,226,6228,95,862,186,"Neubrandenburg",778,NA,NA,26664.3832683992,950,3690.54244980092,796.335145780708,0.515009683666882,10.0586520040375,1,6,151,125,125,6,1,151,1,125,0,408,4,68,28,0,0.000256882305090551,0.00535171468938648,0.00646487134477887,4.28137175150918e-05,0.00646487134477887,0.000256882305090551,4.28137175150918e-05,4.28137175150918e-05,0,25.6882305090551,535.171468938648,646.487134477887,4.28137175150918,4.28137175150918,646.487134477887,25.6882305090551,4.28137175150918,4.28137175150918,535.171468938648,-0.621197293962473
"10","Altentreptow _ 1986","Altentreptow",1986,23205,16639877,"Neubrandenburg","Altentreptow","31/12/86",127,0,13,13,153,1986,31,12,"Kreis",1986,301,0,2,10,0,NA,NA,0,471,342,324,"36600",6308,NA,NA,NA,NA,NA,NA,29,501,1,0,129.899596972,1,0,0,132.35473821,FALSE,0.421111969434411,19,-0.0427180443339548,"Neubrandenburg _ 1986","Neubrandenburg",1986,620.1,301.7,318.4,306.3,8.2,27,235,6338,94,850,188,"Neubrandenburg",NA,NA,NA,27313.079077785,940,3663.00366300366,810.170221934928,0.513465570069344,10.0521230516753,2,10,153,127,127,10,2,153,0,127,0.333333333333333,324,NA,68,29,0,0.000430941607412196,0.00547295841413488,0.00659340659340659,8.61883214824391e-05,0.00659340659340659,0.000430941607412196,0,8.61883214824391e-05,0,43.0941607412196,547.295841413488,659.340659340659,0,8.61883214824391,659.340659340659,43.0941607412196,0,8.61883214824391,547.295841413488,-0.650768506229396
